               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.027941,             0.13198,           0.0024253,             0.84339,             0.82221,             0.85194,              0.5521,            0.027511,            0.073448,            0.018101,            0.007987,            0.007987,            0.007987
                  63,            0.028363,             0.12906,           0.0027411,             0.91473,             0.88023,             0.92842,             0.59291,            0.026559,            0.069229,           0.0093098,            0.007954,            0.007954,            0.007954
                  64,            0.028115,             0.14678,           0.0027533,             0.86443,             0.83206,             0.87872,             0.58466,            0.025341,            0.068993,            0.014935,            0.007921,            0.007921,            0.007921
                  65,            0.028091,             0.14167,           0.0027728,             0.75242,             0.79991,             0.82577,             0.56728,            0.024002,            0.066429,            0.023384,            0.007888,            0.007888,            0.007888
                  66,            0.027177,             0.11592,           0.0031718,             0.92331,             0.86662,             0.92427,             0.63954,            0.025646,            0.071571,           0.0089474,            0.007855,            0.007855,            0.007855
                  67,            0.027393,             0.12039,           0.0026345,             0.91583,             0.87817,             0.92647,             0.63693,            0.025418,             0.07164,           0.0078077,            0.007822,            0.007822,            0.007822
                  68,             0.02744,             0.13063,           0.0024718,             0.94233,             0.88042,             0.93507,             0.65079,            0.024036,            0.067635,           0.0056677,            0.007789,            0.007789,            0.007789
                  69,            0.026845,             0.11388,           0.0022027,             0.91572,             0.87122,              0.9227,             0.63406,            0.024603,            0.067444,           0.0089397,            0.007756,            0.007756,            0.007756
                  70,            0.026679,             0.12042,           0.0022301,             0.94054,             0.89201,              0.9303,             0.64983,            0.023601,            0.067818,           0.0070601,            0.007723,            0.007723,            0.007723
                  71,            0.026718,             0.12531,           0.0022554,             0.88775,              0.8739,             0.89881,             0.63475,            0.022985,            0.070419,           0.0096664,             0.00769,             0.00769,             0.00769
                  72,            0.027273,             0.13076,           0.0024264,             0.93034,             0.86317,             0.91786,             0.62612,            0.026235,            0.076126,           0.0093403,            0.007657,            0.007657,            0.007657
                  73,            0.028083,             0.13582,           0.0024959,             0.85394,             0.82618,             0.84975,             0.59708,            0.023356,             0.06842,            0.020714,            0.007624,            0.007624,            0.007624
                  74,            0.026293,             0.11941,            0.002205,             0.89593,             0.85266,             0.90074,             0.63873,            0.023085,            0.068504,            0.010967,            0.007591,            0.007591,            0.007591
                  75,            0.026735,             0.13368,           0.0022036,             0.90426,              0.8446,              0.9132,              0.6361,            0.024401,            0.067551,           0.0076866,            0.007558,            0.007558,            0.007558
                  76,            0.026915,             0.13438,           0.0025636,             0.92984,             0.86085,             0.91904,             0.64673,            0.025541,            0.070068,           0.0053978,            0.007525,            0.007525,            0.007525
                  77,            0.026518,             0.12385,           0.0020998,             0.92344,              0.8531,             0.89841,             0.63714,            0.025648,             0.07135,           0.0070467,            0.007492,            0.007492,            0.007492
                  78,            0.027469,             0.13016,           0.0024631,              0.9088,             0.84926,             0.88802,             0.62813,            0.026002,            0.072144,           0.0059519,            0.007459,            0.007459,            0.007459
                  79,            0.026734,             0.13646,           0.0025733,             0.90892,             0.86675,              0.9068,             0.61142,            0.026499,            0.073013,           0.0083561,            0.007426,            0.007426,            0.007426
                  80,            0.027061,             0.12666,           0.0023953,              0.9349,             0.89635,             0.93809,             0.63483,            0.025844,            0.067558,           0.0057535,            0.007393,            0.007393,            0.007393
                  81,            0.026784,              0.1397,           0.0023737,             0.92653,              0.8892,             0.91789,              0.6353,            0.025209,            0.073761,           0.0066452,             0.00736,             0.00736,             0.00736
